name_uk;name_ru;oblast;raion;type;lat;lon
Viunky;Staro-Pechënaya;Kirovohrad;;місто;48.28333;31.85
Staromlynivka;Старомлыновка;Donetsk;;місто;47.69428;36.82842
Staromykhailivka;Старомихайловка;Donetsk;;місто;47.99265;37.58581
Staromishchyna;Staromishchyna;Ternopil;;місто;49.54734;26.16212
Staromaiorske;Старомайорское;Donetsk;;місто;47.75271;36.79345
Staromarivka;Staromarivka;Donetsk;;місто;47.44365;37.86914
Starokostyantyniv;Староконстантинов;Khmelnytskyi;;місто;49.75522;27.21229
Starokozache;Староказачье;Odesa;;місто;46.33583;29.98876
Starokasianivske;Starokas’yanovka;Dnipropetrovsk;;місто;47.96334;36.13194
Stara Ivanivka;Стар.Ивановка;Sumy;;місто;50.37763;34.8358
Starohnativka;Старогнатовка;Donetsk;;місто;47.54338;37.77885
Starodubivka;Starodubivka;Donetsk;;місто;48.89024;37.79494
Starodubivka;Стародубовка;Donetsk;;місто;47.10418;37.03959
Starochudnivska Huta;Starochudnivska Huta;Zhytomyr;;місто;50.21008;28.12036
Starobohdanivka;Starobohdanivka;Zaporizhzhia;;місто;47.11502;35.48947
Starobesheve;Старобешево;Donetsk;;місто;47.75069;38.03039
Starobel’skiy;Starobel’skiy;Luhansk;;місто;49.51667;39.45
Starobilsk;Старобельск;Luhansk;;місто;49.27719;38.91673
Mironovka;Мироновка;Crimea;;місто;45.40259;34.45043
Staroavramivka;Staroavramivka;Poltava;;місто;49.81647;33.39247
Stariy Yarov;Stariy Yarov;Lviv;;місто;49.98333;23.43333
Starytskivka;Starytskivka;Poltava;;місто;49.58729;34.91492
Staritskovka;Staritskovka;Poltava;;місто;49.6;34.81667
Starytsia;Старица;Kharkivs’ka Oblast’;;місто;50.24047;36.79312
Starytsia;Starytsia;Kherson;;місто;47.13529;33.28361
Stari Most;Stari Most;Zhytomyr;;місто;51.60134;29.01059
Starykove;Starykove;Sumy;;місто;51.61923;34.14132
Staryky;Staryky;Rivne;;місто;51.24134;27.10429
Staryky;Staryky;Zhytomyr;;місто;50.76752;28.7218
Starychi;Старичі;Lviv;;місто;49.98001;23.55848
Stare Porichchia;Stare Porichchia;Khmelnytskyi;;місто;49.24429;26.62014
Starohorozhene;Старогорожено;Mykolaiv;;місто;47.49653;32.34161
Stare Brody;Stare Brody;Lviv;;місто;50.06667;25.16667
Temriuk;Старченково;Donetsk;;місто;47.26507;36.98016
Yalynivka;Yalynivka;Zhytomyr;;місто;50.39431;28.36018
Stara Zivka;Stara Zivka;Rivne;;місто;51.18333;26.08333
Stara Zburivka;Stara Zburivka;Kherson;;місто;46.47225;32.42374
Olenivka;Olenivka;Volyn;;місто;50.99123;25.27962
Stara Vyzhivka;Старая Выжевка;Volyn;;місто;51.43762;24.43997
Stara Vodolaha;Стар.Водолага;Kharkivs’ka Oblast’;;місто;49.78827;35.83421
Staroye Selo;Staroye Selo;Lviv;;місто;50.19188;23.66528
Stara Ushytsya;Старая Ушица;Khmelnytskyi;;місто;48.59427;27.07487
Staraya Ul’yanovka;Staraya Ul’yanovka;Kirovohrad;;місто;47.96667;32.11667
Stara Tsarychanka;Старая Царичанка;Odesa;;місто;46.28873;29.86709
Staraya Stuzhitsa;Staraya Stuzhitsa;Zakarpattia;;місто;49.01603;22.61999
Stara Sil;Старая Соль;Lviv;;місто;49.48906;22.96589
Stara Syniava;Старая Синява;Khmelnytskyi;;місто;49.59709;27.615
Stara Sharpivka;Stara Sharpivka;Sumy;;місто;51.41025;33.71956
Staraya Sharapanovka;Staraya Sharapanovka;Vinnytsia;;місто;48.5;28.91667
Stara Semenivka;Stara Semenivka;Kharkivs’ka Oblast’;;місто;49.09543;36.74878
Stara Rudnia;Stara Rudnia;Chernihiv;;місто;51.81734;31.72604
Stara Rafalivka;Старая Рафаловка;Rivne;;місто;51.3713;25.86112
Stara Radcha;Stara Radcha;Zhytomyr;;місто;51.38146;29.2987
Stara Ropa;Старая Ропа;Lviv;;місто;49.49168;22.98076
Stara Pokrovka;Stara Pokrovka;Kharkivs’ka Oblast’;;місто;49.81648;36.545
Staraya Papernya;Staraya Papernya;Chernihiv;;місто;52.02439;30.99839
Stara Osota;Старая Осота;Kirovohrad;;місто;49.01685;32.27134
Stara Orzhytsia;Stara Orzhytsia;Kyiv;;місто;50.46598;31.9018
Chervonoarmeyskoye;Rybal’skoye;Dnipropetrovsk;;місто;48.46306;35.14542
Stara Nosovytsia;Stara Nosovytsia;Rivne;;місто;50.29222;25.66101
Stara Nekrasivka;Старая Некрасовка;Odesa;;місто;45.33721;28.92322
Murafa;Мурафа;Vinnytsia;;місто;48.76734;28.21519
Stara Moshchanytsia;Stara Moshchanytsia;Rivne;;місто;50.35404;26.05846
Stara Maiachka;Старая Маячка;Kherson;;місто;46.51074;33.1818
Stara Lishnia;Stara Lishnia;Volyn;;місто;50.68378;24.17155
Starolaspa;Староласпа;Donetsk;;місто;47.56114;37.98592
Staryi Kuzhil;Staryy Kuzhel’;Zhytomyr;;місто;51.03529;29.42195
Stara Kulna;Staraya Kul’na;Odesa;;місто;47.69476;29.31494
Stara Krasnianka;Stara Krasnianka;Luhansk;;місто;49.03677;38.28916
Starosillia;Starosillia;Zhytomyr;;місто;50.09682;28.95396
Staraya Kamenka;Staraya Kamenka;Chernihiv;;місто;51.85;31.25
Stara Hutka;Stara Hutka;Chernihiv;;місто;51.98142;32.55916
Stara Huta;Стар.Гута;Sumy;;місто;52.30997;33.79489
Stara Huta;Stara Huta;Volyn;;місто;51.4159;24.24301
Staraya Guta;Staraya Guta;Chernihiv;;місто;51.22933;30.80878
Stara Huta;Stara Huta;Zhytomyr;;місто;50.88623;29.49121
Staraya Guta;Staraya Guta;Rivne;;місто;50.86667;27.06667
Stara Huta;Stara Huta;Zhytomyr;;місто;50.68603;27.82515
Stara Huta;Stara Huta;Zhytomyr;;місто;50.26573;27.64544
Stara Huta;Stara Huta;Khmelnytskyi;;місто;49.2389;27.75063
Staraya Guta;Staraya Guta;Vinnytsia;;місто;48.95;28.61667
Stara Huta;Staraya Guta;Khmelnytskyi;;місто;48.72654;27.36039
Stara Emetivka;Stara Emetivka;Odesa;;місто;46.73308;30.59641
Staryi Dorohyn;Staryy Dorogin’;Zhytomyr;;місто;51.27304;29.0921
Chervone Pole;Червоное Поле;Mykolaiv;;місто;47.13725;31.53939
Stara Chortoryia;Stara Chortoryia;Zhytomyr;;місто;50.01386;27.6961
Starobutivka;Starobutivka;Chernihiv;;місто;51.44369;32.45034
Stara Buda;Stara Buda;Kyiv;;місто;50.71608;29.84899
Stara Buda;Stara Buda;Zhytomyr;;місто;50.65242;28.8957
Boliarka;Boliarka;Zhytomyr;;місто;50.33333;28.36667
Stara Bohdanivka;Старая Богдановка;Mykolaiv;;місто;46.83784;31.90889
Stara Basan;Стар.Басань;Chernihiv;;місто;50.64021;31.31458
Stara Pisochna;Stara Pisochna;Khmelnytskyi;;місто;49.08932;26.63574
Stara Pavluvka;Stara Pavluvka;Rivne;;місто;50.76667;26.21667
Chovnytsia;Chovnytsia;Volyn;;місто;50.90312;25.48114
Stanovo;Stanovo;Zakarpattia;;місто;48.42161;22.85797
Stanova;Становая;Sumy;;місто;50.49024;34.88817
Stankivtsi;Станковцы;Lviv;;місто;49.43913;24.18319
Stankova;Stankova;Ivano-Frankivsk;;місто;49.15082;24.29898
Stanisluvka;Stanisluvka;Lviv;;місто;50.2;24.1
Stanislavuvka;Stanislavuvka;Volyn;;місто;51.61667;24.8
Zamosty;Zamosty;Volyn;;місто;50.98333;24.33333
Stanislavivka;Stanislavivka;Khmelnytskyi;;місто;49.07846;27.10319
Stanislavovka;Stanislavovka;Khmelnytskyi;;місто;48.6326;26.73175
Slavne;Slavne;Volyn;;місто;50.95588;25.36849
Stanislavka;Stanislavka;Vinnytsia;;місто;48.66728;28.6164
Stanislavka;Stanislavka;Odesa;;місто;47.72783;29.25332
Stanislavchyk;Stanislavchyk;Lviv;;місто;50.17012;24.90493
Stanislavchyk;Stanislavchyk;Kyiv;;місто;49.33954;30.38007
Stanislavchyk;Stanislavchyk;Vinnytsia;;місто;48.96887;28.106
Stanislav;Станіслав;Kherson;;місто;46.57309;32.15001
Stanyshivka;Stanyshivka;Zhytomyr;;місто;50.21982;28.72897
Stanyshivka;Stanishëvka;Kyiv;;місто;50.95814;29.74986
Stanyshivka;Stanishëvka;Kyiv;;місто;49.46979;30.5275
Stanyn;Stanyn;Lviv;;місто;50.27855;24.56599
Stanymyr;Stanymyr;Lviv;;місто;49.73243;24.44398
Stanylivka;Stanylivka;Vinnytsia;;місто;49.51376;29.00611
Stanychne;Станичное;Kharkivs’ka Oblast’;;місто;49.64405;35.72682
Stanytsia Luhanska;Luganskaya;Luhansk;;місто;48.66247;39.48358
Stanetskaya;Stanetskaya;Chernihiv;;місто;51.63333;30.56667
Bukivka;Буковка;Chernivtsi;;місто;48.05163;26.09248
Stanivtsi;Становцы;Chernivtsi;;місто;48.08333;26.06667
Stepivka;Stepivka;Khmelnytskyi;;місто;49.24272;27.8616
Stal’noye;Стальное;Crimea;;місто;45.70814;34.56238
Stalnivtsi;Стальновцы;Chernivtsi;;місто;48.30389;26.55281
Chervoni Kvity;Chervoni Kvity;Poltava;;місто;49.22604;34.37449
Vakulove;Vakulove;Dnipropetrovsk;;місто;47.89821;33.93318
Stalinskiy;Stalinskiy;Zaporizhzhia;;місто;47.58333;36.31667
Stalino;Stalino;Sumy;;місто;51.1;33.81667
Stalino;Stalino;Kharkivs’ka Oblast’;;місто;49.26667;35.66667
Stalino;Stalino;Donetsk;;місто;47.31667;38.01667
Pidhirne;Pidhirne;Donetsk;;місто;47.68354;38.06593
Stakhuvka;Stakhuvka;Rivne;;місто;51.46667;26.26667
Stakhorshchyna;Стахорщина;Chernihiv;;місто;51.94409;33.04745
Stakhanovka;Стахановка;Crimea;;місто;45.37062;33.94883
Kadiyivka;Кадиевка;Luhansk;;місто;48.56818;38.64352
Stai;Stai;Lviv;;місто;50.13333;24.11667
Stadnitski;Stadnitski;Lviv;;місто;50.2;23.88333
Stadnytsia;Stadnytsia;Vinnytsia;;місто;49.2876;28.60373
Stadnytsia;Stadnytsia;Kyiv;;місто;49.24452;29.74219
Stadnyky;Stadnyky;Rivne;;місто;50.46478;26.51878
Stadniki;Stadniki;Lviv;;місто;49.92973;23.54502
Sroki;Sroki;Lviv;;місто;49.63333;23.8
Sribne;Sribne;Donetsk;;місто;48.10562;37.01373
Serednia Rudnia;Serednia Rudnia;Zhytomyr;;місто;51.55516;28.56995
Serednia Derazhnia;Serednia Derazhnia;Zhytomyr;;місто;50.58846;27.2439
Serednii Uhryniv;Serednii Uhryniv;Ivano-Frankivsk;;місто;48.92546;24.35599
Serednii Maidan;Serednii Maidan;Ivano-Frankivsk;;місто;48.63829;24.75461
Serednii Burluk;Serednii Burluk;Kharkivs’ka Oblast’;;місто;49.89384;37.3046
Serednii Bereziv;Serednii Bereziv;Ivano-Frankivsk;;місто;48.42348;24.81459
Sredniy;Sredniy;Kharkivs’ka Oblast’;;місто;49.16083;37.04472
Serednie;Serednie;Donetsk;;місто;49.1253;37.70804
Serednie Vodiane;Середнэ Водяне;Zakarpattia;;місто;47.98293;23.90904
Serednye;Среднее;Zakarpattia;;місто;48.54006;22.50441
Serednie;Serednie;Kherson;;місто;47.04263;33.96757
Stepne;Степное;Zaporizhzhia;;місто;46.81344;35.05623
Srednyaya Teplaya;Srednyaya Teplaya;Luhansk;;місто;48.81667;38.38333
Sredne;Sredne;Rivne;;місто;50.81667;26.23333
Srebropol’ye;Srebropol’ye;Zaporizhzhia;;місто;47.61667;36.1
Sribne;Сребное;Chernihiv;;місто;50.66384;32.91867
Sribne;Sribne;Rivne;;місто;50.20016;25.33123
Sprynia;Sprynia;Lviv;;місто;49.37778;23.14031
Sprysivka;Sprysivka;Khmelnytskyi;;місто;48.96245;27.01082
Spirne;Spirne;Sumy;;місто;50.36003;35.33701
Spodakhi;Spodakhi;Vinnytsia;;місто;49.05048;28.88286
Spivak;Spivak;Khmelnytskyi;;місто;50.23333;26.68333
Zayve;Зайвое;Mykolaiv;;місто;47.24569;31.78016
Yampil;Ямполь;Vinnytsia;;місто;48.24056;28.28141
Svyrydonivka;Свиридоновка;Kherson;;місто;46.4944;34.36562
Spiridonovka;Spiridonovka;Kherson;;місто;46.21667;33.4
Shpychyntsi;Шпичинцы;Zhytomyr;;місто;49.84989;29.20214
Spychyntsi;Спичинцы;Vinnytsia;;місто;49.41103;29.16053
Spivakivka;Спеваковка;Luhansk;;місто;49.05246;38.90813
Spaske;Spaske;Chernihiv;;місто;51.55341;32.61979
Spaske;Спаське;Dnipropetrovsk;;місто;48.6577;35.04966
Spaske;Spaske;Zaporizhzhia;;місто;47.01983;35.38631
Spaske;Спасское;Odesa;;місто;45.76301;29.43988
Spasko-Mykhailivka;Спасско-Михайловка;Donetsk;;місто;48.57526;36.94398
Zapruda;Zapruda;Zhytomyr;;місто;50.87222;27.61879
Shyroke;Широкое;Mykolaiv;;місто;47.0991;32.67376
Spasovskiy;Spasovskiy;Luhansk;;місто;49.21167;40.00361
Spasovskiy;Spasovskiy;Dnipropetrovsk;;місто;47.83333;33.85
Spasove;Спасово;Kirovohrad;;місто;48.41031;33.03794
Spasovka;Спасовка;Crimea;;місто;45.13789;35.10663
Spasiv;Spasiv;Rivne;;місто;50.45016;26.09865
Spaska;Spaska;Chernivtsi;;місто;48.2948;25.79925
Yehovivka;Егоровка;Mykolaiv;;місто;47.84926;31.55024
Spas;Spas;Lviv;;місто;50.05163;24.47827
Spas;Spas;Lviv;;місто;49.39549;22.97109
Spas;Спас;Ivano-Frankivsk;;місто;48.88717;24.06293
Spartak;Spartak;Luhansk;;місто;48.21611;39.33056
Nova Sparta;Новая Спарта;Sumy;;місто;52.13482;33.67018
Spadshchyna;Spadshchyna;Sumy;;місто;51.34273;33.73585
Soimy;Soimy;Zakarpattia;;місто;48.56806;23.47147
Sovkrasnyy;Sovkrasnyy;Dnipropetrovsk;;місто;48;34.21667
Sovetskoye;Sovetskoye;Kharkivs’ka Oblast’;;місто;50.23083;36.85278
Sovetskoye;Советское;Crimea;;місто;45.56937;34.49548
Sovetskoye;Советское;Crimea;;місто;44.53409;34.18729
Stepove;Stepove;Kharkivs’ka Oblast’;;місто;49.2368;36.55322
Sovetskiy;Sovetskiy;Kherson;;місто;46.6;33.93333
Sovetskiy;Советский;Crimea;;місто;45.34267;34.92463
Sotuly;Sotuly;Poltava;;місто;49.48333;34.05
Sotsperemoga;Sotsperemoga;Zhytomyr;;місто;51.3;28.46667
Sotnitskoye;Sotnitskoye;Poltava;;місто;50.16667;32.55
Sotnytskyi Kozachok;Sotnytskyi Kozachok;Kharkivs’ka Oblast’;;місто;50.43143;35.92508
Satera;Сатера;Crimea;;місто;44.73333;34.5
Sosonka;Sosonka;Vinnytsia;;місто;49.33426;28.57862
Sosulivka;Sosulivka;Ternopil;;місто;48.91788;25.83475
Sosny;Sosny;Vinnytsia;;місто;49.35775;28.07763
Sosnivske;Sosnivske;Donetsk;;місто;47.29744;37.90742
Vesnianka;Vesnianka;Zhytomyr;;місто;50.56667;28.26667
Sosnove;Сосновое;Rivne;;місто;50.82379;26.99845
Sosnivka;Sosnivka;Sumy;;місто;51.62847;34.05452
Sosnivka;Сосновка;Sumy;;місто;51.15052;33.1066
Sosnivka;Sosnivka;Khmelnytskyi;;місто;50.44134;26.97046
Sosnivka;Sosnivka;Kharkivs’ka Oblast’;;місто;50.35452;36.10618
Sosnivka;Сосновка;Poltava;;місто;50.29202;34.00959
Sosnivka;Sosnivka;Lviv;;місто;50.2897;24.25139
Sosnivka;Sosnivka;Kyiv;;місто;50.21902;29.83972
Sosnovka;Sosnovka;Khmelnytskyi;;місто;50.00176;26.56076
Sosnivka;Сосновка;Vinnytsia;;місто;49.57734;29.00227
Sosnivka;Сосновка;Kharkivs’ka Oblast’;;місто;49.42094;35.64924
Sosnivka;Сосновка;Khmelnytskyi;;місто;49.10513;26.71408
Sosnivka;Сосновка;Kirovohrad;;місто;48.91834;32.35675
Sosnovka;Sosnovka;Vinnytsia;;місто;48.76667;28.08333
Sosnivka;Sosnivka;Dnipropetrovsk;;місто;47.92959;36.50166
Sosnova;Соснова;Kyiv;;місто;50.15688;31.76388
Sosniv;Sosniv;Ternopil;;місто;49.33802;25.36266
Sosnivka;Соснівка;Zhytomyr;;місто;50.05266;28.45454
Sosnytsia;Сосница;Chernihiv;;місто;51.52387;32.49985
Sos’nina Butyn’ska;Sos’nina Butyn’ska;Lviv;;місто;50.194;23.97161
Sosnyna;Sosnyna;Volyn;;місто;50.7161;24.31279
Soshnoye;Soshnoye;Khmelnytskyi;;місто;50.13477;26.74791
Soshnykiv;Сошников;Kyiv;;місто;50.10358;31.1334
Soshky;Soshky;Khmelnytskyi;;місто;50.08969;27.23168
Soshyshche;Soshyshche;Ternopil;;місто;50.17779;26.01047
Soshychne;Soshychne;Volyn;;місто;51.47088;24.87907
Soshe-Ostrivske;Soshe-Ostrivske;Odesa;;місто;47.19012;29.75471
Soshanske;Сошанское;Vinnytsia;;місто;49.5599;28.90292
Susidovychi;Соседовичи;Lviv;;місто;49.55009;23.0198
Sorotske;Sorotske;Ternopil;;місто;49.37823;25.84561
Sorokivka;Sorokivka;Kharkivs’ka Oblast’;;місто;49.99923;36.54081
Sorokotiazhyntsi;Sorokotiazhyntsi;Vinnytsia;;місто;48.96185;28.95148
Sorokotiahy;Сорокотяги;Kyiv;;місто;49.68089;30.0281
Sorokotiaha;Sorokotiaha;Cherkasy;;місто;49.19229;30.16775
Sorokoshychi;Сорокошичи;Chernihiv;;місто;51.19425;30.63464
Sorokoduby;Sorokoduby;Vinnytsia;;місто;48.82108;29.0078
Soroky-Lvivski;Soroky-Lvivski;Lviv;;місто;49.87335;24.11928
Soroki;Soroki;Lviv;;місто;50.15361;23.95071
Soroky;Soroky;Ternopil;;місто;49.0062;25.37336
Sorokopen;Sorokopen;Zhytomyr;;місто;51.32164;28.48435
Sorokodubi;Sorokodubi;Khmelnytskyi;;місто;49.6883;26.74123
Soroka;Soroka;Sumy;;місто;51.0969;33.63577
Soroka;Soroka;Ternopil;;місто;49.21923;26.01356
Soroka;Soroka;Vinnytsia;;місто;49.0728;29.35519
Soroky;Soroky;Ivano-Frankivsk;;місто;48.61478;25.36543
Myrne;Myrne;Zaporizhzhia;;місто;47.57795;36.11564
Sorochyne;Соронино;Dnipropetrovsk;;місто;48.75367;34.43012
Sorochyne;Sorochyne;Zaporizhzhia;;місто;47.98619;36.01469
Sorochyne;Сорочино;Dnipropetrovsk;;місто;47.92171;34.09657
Pshenychne;Pshenychne;Zaporizhzhia;;місто;47.36147;35.8458
Sorochin;Sorochin;Vinnytsia;;місто;49.08333;28.68333
Sorochanove;Sorochanove;Kirovohrad;;місто;47.97569;31.92377
Sorochanka;Sorochanka;Ivano-Frankivsk;;місто;48.43333;25.55
Sapushyne;Sapushyne;Sumy;;місто;51.135;34.06611
Sopiv;Sopiv;Ivano-Frankivsk;;місто;48.51987;24.98397
Sopit;Сопот;Lviv;;місто;49.14383;23.38229
Soposhin;Soposhin;Lviv;;місто;50.04262;24.00124
Sopyn;Сопин;Vinnytsia;;місто;49.42686;28.94187
Sopachiv;Sopachiv;Rivne;;місто;51.41755;25.89007
Sopachevska Khuta;Sopachevska Khuta;Rivne;;місто;51.5;25.91667
Sontseve;Sontseve;Kirovohrad;;місто;47.86225;32.51575
Somivka;Somivka;Kharkivs’ka Oblast’;;місто;49.12167;35.26497
Somyn;Somyn;Volyn;;місто;51.19808;24.33846
Solygy;Solygy;Lviv;;місто;49.93103;23.53297
Solyanoye;Соляное;Crimea;;місто;45.32832;35.41403
Solianuvatka;Solianuvatka;Lviv;;місто;49.59293;22.78377
Soltysy;Soltysy;Volyn;;місто;51.35;23.66667
Soltysy;Soltysy;Lviv;;місто;50.16667;23.5
Sovpa;Sovpa;Rivne;;місто;50.77428;26.94271
Mala Sovpa;Mala Sovpa;Rivne;;місто;50.74184;26.88524
Soloviv;Solov’yev;Chernihiv;;місто;52.03237;32.96314
Soloviivka;Soloviivka;Zhytomyr;;місто;50.19497;29.54896
Solovyovka;Соловьёвка;Crimea;;місто;44.95231;34.29667
Soloviove;Soloviove;Donetsk;;місто;48.22466;37.60143
Soloviyevka;Soloviyevka;Vinnytsia;;місто;49.16667;28.56667
Solovychi;Solovychi;Volyn;;місто;51.06424;24.4678
Solovi;Solov’i;Volyn;;місто;51.42681;24.78568
Solovi;Solov’i;Zhytomyr;;місто;51.07372;28.53965
Solova;Solova;Lviv;;місто;49.75253;24.39496
Solotvina;Solotvina;Ivano-Frankivsk;;місто;48.88333;23.7
Nyzhnie Solotvyno;Nyzhnie Solotvyno;Zakarpattia;;місто;48.54739;22.44398
Solotvina;Solotvina;Ivano-Frankivsk;;місто;48.38002;25.2294
Solotvyno;Солотвино;Zakarpattia;;місто;47.94728;23.87433
Solotvyn;Solotvyn;Volyn;;місто;51.01472;24.8817
Solotvyn;Солотвин;Ivano-Frankivsk;;місто;48.7063;24.42164
Solotyne;Solotyne;Zhytomyr;;місто;51.56573;29.16012
Soloshyne;Солошино;Poltava;;місто;48.95208;33.94877
Solontsi;Солонцы;Poltava;;місто;49.98361;33.87297
Solontsi;Solontsi;Luhansk;;місто;49.90341;38.14364
Solontsi;Solontsi;Dnipropetrovsk;;місто;48.24245;35.77937
Solontsy;Solontsy;Mykolaiv;;місто;47.56667;33.08333
Shmidtivka;Шмидтовка;Mykolaiv;;місто;46.78658;31.51266
Solontsi;Solontsi;Kherson;;місто;46.57736;32.67486
Sarata;Сарата;Chernivtsi;;місто;47.7471;24.99432
Solontsiuvatka;Solontsiuvatka;Kirovohrad;;місто;47.98975;32.30674
Solontsevataya;Solontsevataya;Zaporizhzhia;;місто;47.75;35.95
Solonske;Солонское;Lviv;;місто;49.38294;23.64021
Solonivka;Солоновка;Chernihiv;;місто;51.99293;31.64851
Solonka;Солонка;Lviv;;місто;49.75621;24.01028
Solonytsivka;Солоницевка;Kharkivs’ka Oblast’;;місто;49.99682;36.03464
Solonytsia;Солоница;Poltava;;місто;49.97375;33.03941
Solonytsia;Solonytsia;Poltava;;місто;49.15237;33.74254
Solonets;Solonets;Ivano-Frankivsk;;місто;49.38333;24.6
Solonchaky;Solonchaky;Mykolaiv;;місто;46.64388;31.81824
Solomna;Solomna;Khmelnytskyi;;місто;49.39393;26.34904
Solomki;Solomki;Poltava;;місто;49.18333;34.38333
Solomki;Solomki;Kherson;;місто;47.03262;34.02597
Solomka-Nakoty;Solomka-Nakoty;Rivne;;місто;50.8;26.23333
Solomiivka;Solomiivka;Rivne;;місто;51.47143;26.53545
Solomiia;Solomiia;Kirovohrad;;місто;48.29553;29.87733
Solomyr;Solomyr;Rivne;;місто;51.86021;26.25764
Solomirka;Solomirka;Vinnytsia;;місто;49.51667;28.13333
Novosoloshyne;Novosoloshyne;Zaporizhzhia;;місто;47.749;35.92372
Stavkove;Ставковое;Poltava;;місто;49.96667;34.33333
Solohubivka;Solohubivka;Vinnytsia;;місто;49.24712;29.45384
Solodke;Solodke;Zaporizhzhia;;місто;47.78619;36.32706
Solodyri;Solodyri;Zhytomyr;;місто;50.56003;28.34113
Solobkivtsi;Солобковцы;Khmelnytskyi;;місто;49.08536;26.91686
Sontseve;Sontseve;Dnipropetrovsk;;місто;48.46338;36.28666
Solntsevo;Solntsevo;Donetsk;;місто;47.61667;36.76667
Solntsevo;Solntsevo;Zaporizhzhia;;місто;47.61667;36.7
Sontseve;Sontseve;Donetsk;;місто;47.5401;38.0312
Solnechnogorskoye;Солнечногорское;Crimea;;місто;44.74722;34.53999
Solnechnaya Dolina;Солнечная Долина;Crimea;;місто;44.87185;35.10622
Krasnaya Sloboda;Красная Слобода;Crimea;;місто;44.98399;34.74381
Solidarne;Солидарное;Kherson;;місто;46.52606;33.82953
Solidarne;Солидарное;Luhansk;;місто;49.78641;38.61687
Solhutove;Solhutove;Kirovohrad;;місто;48.32966;29.84764
Solyonoye Ozero;Солёное Озеро;Crimea;;місто;45.88208;34.44811
Solone;Solone;Ternopil;;місто;48.82152;25.68007
Solone;Солёное;Dnipropetrovsk;;місто;48.20907;34.87585
Soldatske;Soldatske;Sumy;;місто;50.43949;35.20684
Soldatske;Soldatske;Dnipropetrovsk;;місто;47.68492;33.60355
Voznesenske;Вознесенское;Mykolaiv;;місто;47.62065;31.53311
Soldatske;Soldatske;Kherson;;місто;46.76002;32.24939
Nove Zhyttia;Nove Zhyttia;Dnipropetrovsk;;місто;47.74986;33.55275
Soldatskaya Sloboda;Soldatskaya Sloboda;Odesa;;місто;46.54134;30.72582
Solianyky;Solianyky;Sumy;;місто;51.21478;34.37335
Sokolya;Sokolya;Lviv;;місто;50.06774;24.49369
Sokolya;Sokolya;Lviv;;місто;49.85338;23.16401
Sokoly;Соколы;Crimea;;місто;45.6463;33.43572
Sokolivka;Sokolivka;Lviv;;місто;50.03406;24.84786
Sokolivshchyna;Sokolivshchyna;Poltava;;місто;50.19912;34.29945
Sokolove;Sokolove;Dnipropetrovsk;;місто;48.53397;35.31168
Sokolivka;Соколовка;Chernihiv;;місто;51.15891;30.91242
Sokolivka;Соколовка;Kyiv;;місто;49.90731;30.20601
Sokolivka;Соколовка;Lviv;;місто;49.57017;24.29014
Sokolivka;Sokolivka;Khmelnytskyi;;місто;49.15597;26.85671
Sokolivka;Соколовка;Cherkasy;;місто;49.03105;30.13312
Sokolivka;Sokolivka;Vinnytsia;;місто;48.44085;28.99771
Sokolivka;Sokolivka;Ivano-Frankivsk;;місто;48.29414;25.00278
Sokolivka;Соколовка;Mykolaiv;;місто;47.92524;30.96806
Sokolivka;Sokolivka;Mykolaiv;;місто;47.33149;32.92923
Sokoliv Brid;Sokoliv Brid;Zhytomyr;;місто;49.82975;29.4383
Sokolova Balka;Соколова Балка;Poltava;;місто;49.19966;34.61542
Sokolova;Sokolova;Vinnytsia;;місто;49.56893;27.89713
Sokoliv;Sokoliv;Zhytomyr;;місто;50.49344;28.0679
Sokolove;Соколов;Kharkivs’ka Oblast’;;місто;49.71244;36.19126
Sokoliv;Sokoliv;Ternopil;;місто;49.31032;25.3877
Sokoliv;Sokoliv;Ternopil;;місто;48.93497;25.34308
Sokolohirne;Сокологорное;Kherson;;місто;46.49856;34.94716
Sokolyshche;Sokolyshche;Volyn;;місто;51.48217;24.69739
Sokolyntsi;Sokolyntsi;Vinnytsia;;місто;49.00822;28.59081
Sokolinoye;Соколиное;Crimea;;місто;44.55041;33.95897
Sokoliki;Соколики;Lviv;;місто;49.0974;22.88042
Sokilets;Sokilets;Vinnytsia;;місто;49.68412;28.87876
Sokilets;Sokilets;Vinnytsia;;місто;48.86971;28.72187
Sokilets;Sokilets;Khmelnytskyi;;місто;48.74961;27.05383
Sokilcha;Сокольча;Zhytomyr;;місто;49.99003;29.31385
Sokil;Sokil;Volyn;;місто;51.30004;23.91422
Sokil;Sokil;Volyn;;місто;51.04446;25.33967
Sokil;Sokil;Khmelnytskyi;;місто;48.53143;26.65044
Sokil;Sokil;Vinnytsia;;місто;48.48119;28.16087
Ilyinka;Ильинка;Crimea;;місто;45.81784;33.79482
Sokyryany;Сокиряны;Chernivtsi;;місто;48.44913;27.41138
Sokyrnytsia;Сокирница;Zakarpattia;;місто;48.12233;23.39997
Antonivka;Антоновка;Mykolaiv;;місто;47.81883;30.87379
Sokyryntsi;Sokyryntsi;Vinnytsia;;місто;49.17222;28.60728
Sokyryntsi;Sokyryntsi;Ternopil;;місто;48.95027;26.20477
Sokyrychi;Sokyrychi;Volyn;;місто;50.86519;25.49802
Sokyryntsi;Сокиринцы;Chernihiv;;місто;50.6996;32.78424
