name_uk;name_ru;oblast;raion;type;lat;lon
Zvenihorodka;Звенигородка;Cherkasy;;місто;49.07765;30.96074
Zvenyhorodka;Zvenyhorodka;Mykolaiv;;місто;47.38413;31.17259
Zvenigorod;Zvenigorod;Ternopil;;місто;48.54413;26.27733
Zvenychiv;Zvenychiv;Chernihiv;;місто;51.70428;31.30767
Zvedenivka;Зведеновка;Vinnytsia;;місто;48.71051;28.41028
Zvanivka;Звановка;Donetsk;;місто;48.8128;38.07827
Zuivtsi;Зуевцы;Poltava;;місто;50.17696;33.75273
Zuivka;Zuivka;Donetsk;;місто;48.06014;38.24902
Zuya;Зуя;Crimea;;місто;45.05418;34.32152
Tsuren;Tsuren;Chernivtsi;;місто;48.2379;26.10147
Zuravniki;Zuravniki;Lviv;;місто;49.81667;24.38333
Zul’nya;Zul’nya;Rivne;;місто;51.46667;26.36667
Hrushivka;Hrushivka;Rivne;;місто;51.15;26.38333
Zuhres;Зугрэс;Donetsk;;місто;48.01428;38.26599
Zubrytsia;Зубрица;Lviv;;місто;49.1014;23.20224
Zubra;Зубра;Lviv;;місто;49.76397;24.05079
Zubrovka;Zubrovka;Zhytomyr;;місто;50.36667;28.98333
Zubrynka;Зубринка;Zhytomyr;;місто;50.61179;28.30462
Zubrets;Зубрец;Ternopil;;місто;48.98943;25.29125
Zubivshchyna;Zubivshchyna;Zhytomyr;;місто;50.96034;28.81672
Zubivshchyna;Zubivshchyna;Khmelnytskyi;;місто;50.48008;27.10306
Zubiv Mist;Zubiv Mist;Lviv;;місто;50.14769;24.30968
Zubivka;Зубовка;Poltava;;місто;50.01565;33.69863
Zubivka;Зубовка;Zakarpattia;;місто;48.38216;22.83344
Zuby;Zuby;Poltava;;місто;49.78788;34.67718
Zubkiv;Зубков;Lviv;;місто;50.39594;24.39544
Zubkovychi;Зубковичи;Zhytomyr;;місто;51.03725;27.68666
Zubeyki;Zubeyki;Lviv;;місто;50.15866;23.71531
Zubari;Зубари;Khmelnytskyi;;місто;50.05571;26.93294
Zubari;Зубари;Kyiv;;місто;49.96667;29.8
Zubani;Зубани;Poltava;;місто;49.54491;33.56369
Zubakhy;Зубахи;Chernihiv;;місто;51.74969;30.80737
Zrazkove;Зразковое;Zaporizhzhia;;місто;47.13883;35.39766
Zrazkove;Зразковое;Zaporizhzhia;;місто;47.33133;36.44782
Zraykovskiy;Zraykovskiy;Kyiv;;місто;49.45172;29.77881
Zraiky;Zraiky;Kyiv;;місто;49.46091;29.83867
Zozulyntsi;Zozulyntsi;Vinnytsia;;місто;49.6441;28.0641
Zozulyntsi;Зозулинцы;Vinnytsia;;місто;49.57272;28.92453
Zozivka;Zozivka;Vinnytsia;;місто;49.33037;28.9776
Zoziv;Зозов;Vinnytsia;;місто;49.31612;29.0121
Zorokiv;Зороков;Zhytomyr;;місто;50.39472;28.62331
Zorkino;Зоркино;Crimea;;місто;45.54762;34.71028
Zorynsk;Зоринск;Luhansk;;місто;48.41194;38.62361
Zorynivka;Зориновка;Luhansk;;місто;49.47649;40.02423
Zorino;Zorino;Donetsk;;місто;47.45;37.51667
Zoryn;Зорин;Kyiv;;місто;51.0652;30.20085
Zorykivka;Зориковка;Luhansk;;місто;49.40302;39.83798
Zori;Зори;Donetsk;;місто;47.36293;38.19491
Zolotiiv;Zolotiiv;Rivne;;місто;50.64521;26.23231
Zoloti Prudy;Золотые Пруды;Donetsk;;місто;48.73187;37.02175
Zolotukhy;Золотухи;Poltava;;місто;49.87259;32.60861
Zolotukha;Золотуха;Kyiv;;місто;49.75988;29.72029
Zolotyi Potik;Золотой Поток;Ternopil;;місто;48.90672;25.3419
Zolotyy Kolodyaz’;Zolotoy Kolodets;Donetsk;;місто;48.53013;37.23558
Zolotoye Pole;Золотое Поле;Crimea;;місто;45.12774;34.99148
Zolote;Золотое;Rivne;;місто;51.67264;26.4804
Zolote;Золотое;Luhansk;;місто;48.69516;38.51512
Zolotoye;Золотое;Crimea;;місто;45.2801;34.53851
Zolotarivka;Золотарёвка;Donetsk;;місто;48.00398;38.18774
Zolotonoshka;Золотоношка;Cherkasy;;місто;50.02632;32.09711
Zolotonosha;Золотоноша;Cherkasy;;місто;49.66926;32.03637
Zolotolyn;Золотолин;Rivne;;місто;51.07531;26.31165
Zolotnyky;Золотники;Ternopil;;місто;49.28692;25.38397
Zolotkovychi;Золотковичи;Lviv;;місто;49.71812;23.03333
Zolotynka;Zolotynka;Chernihiv;;місто;51.34176;31.22506
Zolota Sloboda;Золотая Слобода;Ternopil;;місто;49.42076;25.25204
Zolota Nyva;Золотая Нива;Donetsk;;місто;47.79411;36.98907
Zolota Balka;Золотая Балка;Kherson;;місто;47.37839;33.96474
