name_uk;name_ru;oblast;raion;type;lat;lon
Київ;Киев;Київська область;;місто;50.4501;30.5234
Дніпро;Днепр;Дніпропетровська область;;місто;48.467;35.04
Павлоград;Павлоград;Дніпропетровська область;;місто;48.533;35.870
Вільногірськ;Вольногорск;Дніпропетровська область;;місто;48.484;34.016
